ID,name,releasedate,Asynchronous Multiplayer,Co-op,Co-op Campaign,Competitive,Local Co-Op,Local Multiplayer,Multiplayer,Online Co-Op,Party-Based RPG,PvE,PvP,Replay Value,Singleplayer,free_to_play,Casual,RPG,Massively_Multiplayer
610180,The Jackbox Party Pack 4,18-Oct-17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
102500,Kingdoms of Amalur: Reckoning�,08-Feb-12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
664430,WWE 2K18,17-Oct-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
480650,Yu-Gi-Oh! Legacy of the Duelist,07-Dec-16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
636040,Pixel Worlds,08-Jun-17,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
268650,From The Depths,07-Aug-14,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
209170,Call of Duty: Ghosts - Multiplayer,25-Mar-14,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
387290,Ori and the Blind Forest: Definitive Edition,27-Apr-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
285900,Gang Beasts,12-Dec-17,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
238320,Outlast,04-Sep-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
611500,Quake Champions,22-Aug-17,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
270150,RUNNING WITH RIFLES,02-Apr-15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
40100,Supreme Commander 2,01-Mar-10,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
405310,LEGO� MARVEL's Avengers,26-Jan-16,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0
352400,LEGO� Jurassic World,11-Jun-15,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
528300,Soulless: Ray Of Hope,18-Oct-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
454690,Cyber City 2157: The Visual Novel,04-May-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
208480,Assassin's Creed� III,21-Nov-12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
486150,Radical Spectrum: Volume 1,08-Jul-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57690,Tropico 4,01-Sep-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
386070,Planetary Annihilation: TITANS,18-Aug-15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
378540,The Surge,15-May-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
21690,Resident Evil 5 / Biohazard 5,15-Sep-09,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
56400,"Warhammer 40,000: Dawn of War II - Retribution",28-Feb-11,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
375910,Anno 2205,02-Nov-15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
